Order_ID	Order_Product_ID	Order_Date	Order_Priority	Order_Quantity	Sales	Discount	Ship_Mode	Profit	Unit_Price	Shipping_Cost	Customer_Name	Province	Region	Customer_Segment	Product_Category	Product_Sub_Category	Product_Name	Product_Container	Ship_Date
1792	29	11/8/10	Low	28	370.48	0.04	Regular Air	-5.45	13.48	4.51	Carlos Soltero	Nunavut	Nunavut	Consumer	Office Supplies	Storage & Organization	"Tenex Personal Project File with Scoop Front Design, Black"	Small Box	2010-11-13
2275	30	10/21/12	Not Specified	49	278	0.08	Regular Air	41.67	6.08	1.17	Grant Carroll	Nunavut	Nunavut	Small Business	Office Supplies	Pens & Art Supplies	Col-Erase¬ Pencils with Erasers	Wrap Bag	2012-10-22
2277	31	1/1/11	Not Specified	10	66.54	0.01	Regular Air	-46.03	5.98	4.38	Don Miller	Nunavut	Nunavut	Home Office	Technology	Computer Peripherals	"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack"	Small Pack	2011-01-02
2277	32	1/1/11	Not Specified	21	845.32	0.06	Regular Air	33.67	40.99	19.99	Don Miller	Nunavut	Nunavut	Home Office	Office Supplies	Paper	"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11"	Small Box	2011-01-03
2532	33	10/10/11	High	39	282.07	0.03	Regular Air	140.01	7.31	0.49	Alan Barnes	Nunavut	Nunavut	Corporate	Office Supplies	Labels	Self-Adhesive Address Labels for Typewriters by Universal	Small Box	2011-10-11
2532	34	10/10/11	High	24	426.037	0.01	Regular Air	-78.96	20.99	2.5	Alan Barnes	Nunavut	Nunavut	Corporate	Technology	Telephones and Communication	Accessory37	Wrap Bag	2011-10-11
2631	35	9/23/10	Low	27	1078.49	0.08	Regular Air	252.66	40.96	1.99	Jack Garza	Nunavut	Nunavut	Corporate	Technology	Computer Peripherals	Fuji 5.2GB DVD-RAM	Small Pack	2010-09-25
2757	36	7/19/11	Critical	39	3554.46	0.07	Delivery Truck	-1766.01	95.95	74.35	Julia West	Nunavut	Nunavut	Corporate	Furniture	Chairs & Chairmats	Bevis Steel Folding Chairs	Jumbo Drum	2011-07-19
2791	37	10/9/09	High	47	191.67	0	Regular Air	-236.27	3.89	7.01	Eugene Barchas	Nunavut	Nunavut	Corporate	Office Supplies	Binders and Binder Accessories	Avery Binder Labels	Small Box	2009-10-09
2791	38	10/9/09	High	49	5586.33	0.09	Delivery Truck	80.44	120.98	30	Eugene Barchas	Nunavut	Nunavut	Corporate	Furniture	Chairs & Chairmats	Hon Every-Day¬ Chair Series Swivel Task Chairs	Jumbo Drum	2009-10-11
2791	39	10/9/09	High	18	507.64	0.1	Regular Air	118.94	30.98	5.76	Eugene Barchas	Nunavut	Nunavut	Corporate	Office Supplies	Paper	"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case"	Small Box	2009-10-10
2976	40	12/9/10	Not Specified	30	14223.82	0.09	Delivery Truck	3424.22	500.98	26	Edward Hooks	Nunavut	Nunavut	Consumer	Furniture	Chairs & Chairmats	Global Troy» Executive Leather Low-Back Tilter	Jumbo Drum	2010-12-11
3232	41	10/8/12	Critical	5	42.66	0.06	Regular Air	-11.83	7.84	4.71	Brad Eason	Nunavut	Nunavut	Small Business	Office Supplies	Binders and Binder Accessories	XtraLife¬ ClearVue» Slant-D¬ Ring Binders by Cardinal	Small Box	2012-10-10
3524	42	5/2/12	High	21	427.32	0	Regular Air	52.35	18.97	9.03	Nicole Hansen	Nunavut	Nunavut	Small Business	Office Supplies	Paper	Computer Printout Paper with Letter-Trim Perforations	Small Box	2012-05-03
3908	43	3/8/10	Medium	8	820.284	0	Regular Air	-180.2	115.99	2.5	Dorothy Wardle	Nunavut	Nunavut	Corporate	Technology	Telephones and Communication	6160	Small Box	2010-03-08
4132	44	5/28/11	Not Specified	5	14.76	0.01	Regular Air	1.32	2.88	0.5	Aaron Bergman	Nunavut	Nunavut	Corporate	Office Supplies	Labels	Avery 49	Small Box	2011-05-30
4612	45	9/19/10	Medium	9	89.55	0.06	Regular Air	-375.64	4.48	49	Jim Radford	Nunavut	Nunavut	Corporate	Office Supplies	Appliances	Hoover Portapower» Portable Vacuum	Large Box	2010-09-21
4676	46	8/31/11	High	11	1210.0515	0.04	Regular Air	-104.25	125.99	7.69	Annie Cyprus	Nunavut	Nunavut	Home Office	Technology	Telephones and Communication	Timeport L7089	Small Box	2011-09-01
4676	47	8/31/11	High	50	187.83	0.03	Regular Air	85.96	3.75	0.5	Annie Cyprus	Nunavut	Nunavut	Home Office	Office Supplies	Labels	Avery 510	Small Box	2011-09-02
4676	48	8/31/11	High	3	49.59	0.07	Express Air	-8.38	12.28	6.47	Annie Cyprus	Nunavut	Nunavut	Home Office	Office Supplies	Paper	Xerox 1881	Small Box	2011-09-02
4676	49	8/31/11	High	30	4253.009	0.01	Regular Air	1115.69	155.99	8.99	Annie Cyprus	Nunavut	Nunavut	Home Office	Technology	Telephones and Communication	LX 788	Small Box	2011-09-01
5284	50	7/8/11	Not Specified	7	59.38	0.1	Regular Air	-3.05	8.69	2.99	Annie Cyprus	Nunavut	Nunavut	Home Office	Office Supplies	Binders and Binder Accessories	"Cardinal Slant-D¬ Ring Binder, Heavy Gauge Vinyl"	Small Box	2011-07-10
5316	51	1/30/09	Critical	42	1285.37	0.1	Regular Air	514.07	31.78	1.99	Clay Rozendal	Nunavut	Nunavut	Corporate	Technology	Computer Peripherals	"Memorex 4.7GB DVD-RAM, 3/Pack"	Small Pack	2009-02-01
5409	52	1/8/12	Low	11	48.91	0.01	Regular Air	-7.04	3.98	2.97	Don Jones	Nunavut	Nunavut	Corporate	Office Supplies	Paper	Unpadded Memo Slips	Wrap Bag	2012-01-13
5506	53	11/7/10	Critical	22	129.62	0.05	Regular Air	4.41	5.88	3.04	Beth Thompson	Nunavut	Nunavut	Corporate	Office Supplies	Paper	"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages"	Wrap Bag	2010-11-08
5569	54	4/29/10	Not Specified	12	118.97	0.09	Regular Air	-0.06	9.65	6.22	Frank Price	Nunavut	Nunavut	Corporate	Furniture	Office Furnishings	"Eldon Expressions» Desk Accessory, Wood Pencil Holder, Oak"	Small Box	2010-05-01
5607	55	12/31/11	Not Specified	8	61.8715	0	Regular Air	-50.33	7.99	5.03	Michelle Lonsdale	Nunavut	Nunavut	Home Office	Technology	Telephones and Communication	Bell Sonecor JB700 Caller ID	Medium Box	2012-01-03
5894	56	8/12/09	High	7	384.33	0.1	Regular Air	87.68	58.1	1.49	Ann Chong	Nunavut	Nunavut	Corporate	Office Supplies	Binders and Binder Accessories	Avery Arch Ring Binders	Small Box	2009-08-13
5894	57	8/12/09	High	3	239.03	0.01	Regular Air	-68.22	80.48	4.5	Ann Chong	Nunavut	Nunavut	Corporate	Office Supplies	Appliances	APC 7 Outlet Network SurgeArrest Surge Protector	Small Box	2009-08-15
5925	58	11/12/11	Low	44	3922.42	0.08	Regular Air	-354.9	92.23	39.61	Joy Bell	Nunavut	Nunavut	Home Office	Furniture	Office Furnishings	"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting"	Medium Box	2011-11-19
5925	59	11/12/11	Low	25	1733.3625	0.07	Regular Air	-267.01	85.99	0.99	Joy Bell	Nunavut	Nunavut	Home Office	Technology	Telephones and Communication	Accessory4	Wrap Bag	2011-11-19
6016	60	1/20/12	High	19	208.28	0.07	Regular Air	3.63	11.48	5.43	Skye Norling	Nunavut	Nunavut	Home Office	Office Supplies	Paper	Personal Creations» Ink Jet Cards and Labels	Small Box	2012-01-20
6116	61	3/20/09	Medium	6	9620.82	0.04	Regular Air	-1759.58	1637.53	24.49	Barry Weirich	Nunavut	Nunavut	Corporate	Office Supplies	"Scissors, Rulers and Trimmers"	High Speed Automatic Electric Letter Opener	Medium Box	2009-03-22
6182	62	7/21/12	Low	40	255.48	0.04	Regular Air	-116.79	6.48	6.65	Grant Carroll	Nunavut	Nunavut	Corporate	Office Supplies	Paper	Xerox 1966	Small Box	2012-07-28
6182	63	7/21/12	Low	18	130.32	0.04	Express Air	-67.28	6.48	7.86	Grant Carroll	Nunavut	Nunavut	Corporate	Office Supplies	Paper	Xerox 213	Small Box	2012-07-25
6535	64	6/12/12	Critical	11	312.36	0.07	Express Air	-19.33	28.15	8.99	Adrian Hane	Nunavut	Nunavut	Corporate	Office Supplies	Pens & Art Supplies	"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black"	Small Pack	2012-06-15
6884	65	1/15/09	Low	41	217	0.01	Regular Air	-61.21	4.98	4.75	Skye Norling	Nunavut	Nunavut	Home Office	Office Supplies	Paper	Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)	Small Box	2009-01-20
6884	66	1/15/09	Low	47	296.13	0.04	Regular Air	119.09	6.35	1.02	Skye Norling	Nunavut	Nunavut	Home Office	Office Supplies	Paper	"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""	Wrap Bag	2009-01-20
6916	67	6/4/10	Low	40	436.17	0.08	Express Air	-141.27	10.9	7.46	Andrew Gjertsen	Nunavut	Nunavut	Consumer	Office Supplies	Storage & Organization	Crate-A-Files»	Small Box	2010-06-08
6980	68	2/18/10	Not Specified	18	136.29	0.05	Regular Air	-77.28	7.3	7.72	Ralph Knight	Nunavut	Nunavut	Consumer	Office Supplies	Binders and Binder Accessories	"Angle-D Binders with Locking Rings, Label Holders"	Small Box	2010-02-19
6982	69	11/16/11	Not Specified	32	1311.25	0	Express Air	407.44	39.48	1.99	Dorothy Wardle	Nunavut	Nunavut	Corporate	Technology	Computer Peripherals	"80 Minute CD-R Spindle, 100/Pack - Staples"	Small Pack	2011-11-18
6982	70	11/16/11	Not Specified	5	544.41	0.09	Delivery Truck	-338.27	100.98	57.38	Dorothy Wardle	Nunavut	Nunavut	Corporate	Furniture	Bookcases	"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled"	Jumbo Box	2011-11-18
6982	71	11/16/11	Not Specified	41	844.09	0.04	Regular Air	52.56	19.98	10.49	Dorothy Wardle	Nunavut	Nunavut	Corporate	Furniture	Office Furnishings	12-1/2 Diameter Round Wall Clock	Small Box	2011-11-18
7110	72	8/7/11	Low	22	6396.2	0.02	Regular Air	1902.24	276.2	24.49	Grant Carroll	Nunavut	Nunavut	Corporate	Furniture	Chairs & Chairmats	SAFCO Arco Folding Chair	Large Box	2011-08-11
7430	73	6/8/10	Medium	50	751.77	0.05	Regular Air	353.2	15.67	1.39	Barry Weirich	Nunavut	Nunavut	Corporate	Office Supplies	Envelopes	"#10 White Business Envelopes,4 1/8 x 9 1/2"	Small Box	2010-06-09
7906	74	10/17/09	Medium	37	1003.06	0.03	Regular Air	271.78	25.98	5.37	Beth Paige	Nunavut	Nunavut	Consumer	Office Supplies	Appliances	3M Office Air Cleaner	Medium Box	2009-10-17
8391	75	8/28/11	High	4	1266.72	0.04	Delivery Truck	-268.36	300.98	64.73	Sylvia Foulston	Nunavut	Nunavut	Corporate	Furniture	Chairs & Chairmats	"Global Leather and Oak Executive Chair, Black"	Jumbo Drum	2011-08-29
8419	76	9/29/11	Critical	19	368.04	0.07	Express Air	70.39	19.98	5.97	Nicole Hansen	Nunavut	Nunavut	Small Business	Office Supplies	Paper	Xerox 1936	Small Box	2011-10-01
8419	77	9/29/11	Critical	24	152.6	0.1	Regular Air	-86.62	6.48	7.03	Nicole Hansen	Nunavut	Nunavut	Small Business	Office Supplies	Paper	Xerox 214	Small Box	2011-09-30
8833	78	5/4/12	Low	40	3338.98	0	Regular Air	-846.73	80.98	35	Nicole Hansen	Nunavut	Nunavut	Small Business	Office Supplies	Storage & Organization	Carina Double Wide Media Storage Towers in Natural & Black	Large Box	2012-05-08
8995	79	5/17/11	High	5	24.16	0.08	Express Air	8.05	1.88	1.49	Beth Paige	Nunavut	Nunavut	Consumer	Office Supplies	Binders and Binder Accessories	Staples¬ General Use 3-Ring Binders	Small Box	2011-05-18
8995	80	5/17/11	High	41	270.84	0.1	Express Air	-78.02	6.48	5.86	Beth Paige	Northwest Territories	Northwest Territories	Consumer	Office Supplies	Paper	Xerox 1904	Small Box	2011-05-18
8995	81	5/17/11	High	35	3389.93	0.08	Express Air	737.94	102.3	21.26	Beth Paige	Northwest Territories	Northwest Territories	Consumer	Furniture	Office Furnishings	Luxo Professional Combination Clamp-On Lamps	Large Box	2011-05-18
8995	82	5/17/11	High	42	266.36	0.07	Regular Air	-191.28	6.48	8.19	Beth Paige	Northwest Territories	Northwest Territories	Consumer	Office Supplies	Paper	Xerox 217	Small Box	2011-05-18
8995	83	5/17/11	High	46	89.41	0.01	Regular Air	-21.49	1.89	0.76	Beth Paige	Northwest Territories	Northwest Territories	Consumer	Office Supplies	Rubber Bands	Revere Boxed Rubber Bands by Revere	Wrap Bag	2011-05-19
9126	84	11/17/09	Medium	47	2799.7	0.04	Regular Air	884.08	62.05	3.99	Sylvia Foulston	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Appliances	"Acco Smartsocket» Table Surge Protector, 6 Color-Coded Adapter Outlets"	Small Box	2009-11-18
9127	85	10/10/11	Not Specified	7	2039.56	0.04	Express Air	-329.49	279.48	35	Bryan Davis	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Storage & Organization	"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units"	Large Box	2011-10-12
9509	86	10/7/12	Not Specified	36	12175.82	0.02	Delivery Truck	2825.15	320.98	58.95	Joy Bell	Northwest Territories	Northwest Territories	Home Office	Furniture	Chairs & Chairmats	Hon 4070 Series Pagoda» Round Back Stacking Chairs	Jumbo Drum	2012-10-08
9509	87	10/7/12	Not Specified	5	101.21	0.1	Express Air	2.13	18.97	5.21	Joy Bell	Northwest Territories	Northwest Territories	Home Office	Office Supplies	Paper	Xerox 1887	Small Box	2012-10-08
9509	88	10/7/12	Not Specified	32	1585.64	0.02	Regular Air	707.15	48.91	5.81	Joy Bell	Northwest Territories	Northwest Territories	Home Office	Office Supplies	Paper	Xerox 1891	Small Box	2012-10-07
9763	89	8/13/11	Medium	44	176.26	0.07	Regular Air	75.13	4.13	0.5	Alan Barnes	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Labels	Avery 506	Small Box	2011-08-16
9927	90	8/16/11	High	32	4655.07	0	Delivery Truck	-270.63	140.98	53.48	Grant Carroll	Northwest Territories	Northwest Territories	Corporate	Furniture	Bookcases	"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"	Jumbo Box	2011-08-17
9927	91	8/16/11	High	44	10087.6	0.01	Regular Air	3387.35	218.08	18.06	Grant Carroll	Northwest Territories	Northwest Territories	Corporate	Furniture	Chairs & Chairmats	"Lifetime Advantage» Folding Chairs, 4/Carton"	Large Box	2011-08-17
9927	92	8/16/11	High	34	1608.08	0.09	Express Air	-82.16	50.98	6.5	Grant Carroll	Northwest Territories	Northwest Territories	Corporate	Technology	Computer Peripherals	Microsoft Natural Multimedia Keyboard	Small Box	2011-08-17
10022	93	3/4/09	Low	1	12.18	0.06	Regular Air	-3.88	10.14	2.27	Delfina Latchford	Northwest Territories	Northwest Territories	Small Business	Office Supplies	Paper	"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack"	Wrap Bag	2009-03-04
10437	94	8/18/09	Critical	50	820.52	0.01	Regular Air	-191.22	15.99	13.18	Don Jones	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Binders and Binder Accessories	"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""	Small Box	2009-08-20
10499	95	11/16/10	Not Specified	29	6250.936	0.01	Delivery Truck	31.21	262.11	62.74	Doug Bickford	Northwest Territories	Northwest Territories	Corporate	Furniture	Tables	Bevis Boat-Shaped Conference Table	Jumbo Box	2010-11-17
10535	96	5/27/11	Low	25	854.88	0.09	Regular Air	-44.14	33.98	19.99	Doug Bickford	Northwest Territories	Northwest Territories	Corporate	Furniture	Office Furnishings	"Linden¬ 12"" Wall Clock With Oak Frame"	Small Box	2011-05-29
10535	97	5/27/11	Low	46	80.27	0.09	Regular Air	-0.79	1.76	0.7	Doug Bickford	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Pens & Art Supplies	Newell 326	Wrap Bag	2011-06-03
10789	98	8/23/10	Not Specified	15	308.54	0	Express Air	76.42	19.84	4.1	Jamie Kunitz	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Pens & Art Supplies	Prismacolor Color Pencil Set	Wrap Bag	2010-08-24
10791	99	8/19/11	Not Specified	20	400.57	0.05	Regular Air	93.36	19.98	5.77	Anthony Johnson	Northwest Territories	Northwest Territories	Small Business	Office Supplies	Paper	Xerox Blank Computer Paper	Small Box	2011-08-21
10945	100	1/3/12	Medium	14	1170.025	0.04	Regular Air	4.22	95.99	8.99	Ralph Knight	Northwest Territories	Northwest Territories	Consumer	Technology	Telephones and Communication	600 Series Flip	Small Box	2012-01-05
11137	101	11/29/12	High	48	5188.86	0.1	Regular Air	395.12	111.03	8.64	Allen Rosenblatt	Northwest Territories	Northwest Territories	Small Business	Office Supplies	Storage & Organization	Fellowes Recycled Storage Drawers	Small Box	2012-11-30
11202	102	3/17/12	Medium	8	339.81	0.05	Regular Air	79.59	43.41	2.99	Barry Weirich	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Binders and Binder Accessories	Satellite Sectional Post Binders	Small Box	2012-03-18
11456	103	4/12/10	Low	15	1519.9	0.09	Regular Air	399.37	105.34	24.49	Doug Bickford	Northwest Territories	Northwest Territories	Corporate	Furniture	Office Furnishings	Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting	Large Box	2010-04-19
11460	104	8/24/10	High	30	102.24	0.09	Regular Air	37.79	3.69	0.5	Carl Jackson	Northwest Territories	Northwest Territories	Home Office	Office Supplies	Labels	Avery 487	Small Box	2010-08-26
11495	105	7/4/11	High	6	965.69	0	Delivery Truck	-144.2	146.34	43.75	Brendan Dodson	Northwest Territories	Northwest Territories	Corporate	Furniture	Tables	Bevis Round Conference Table Top & Single Column Base	Jumbo Box	2011-07-05
11911	106	11/10/10	Critical	25	397.84	0	Regular Air	-14.75	15.22	9.73	Edward Hooks	Northwest Territories	Northwest Territories	Consumer	Office Supplies	Binders and Binder Accessories	"GBC Twin Loop» Wire Binding Elements, 9/16"" Spine, Black"	Small Box	2010-11-12
11941	107	6/24/10	Critical	4	73.07	0.08	Regular Air	-41.01	15.7	11.25	Jamie Kunitz	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Storage & Organization	Hanging Personal Folder File	Small Box	2010-06-25
11941	108	6/24/10	Critical	26	4679.1	0.05	Delivery Truck	111.52	179.29	29.21	Jamie Kunitz	Northwest Territories	Northwest Territories	Corporate	Furniture	Tables	"Bevis Round Conference Table Top, X-Base"	Jumbo Box	2010-06-25
12096	109	9/19/12	Medium	46	8009.5925	0.02	Regular Air	2332.4	200.99	8.08	Michelle Lonsdale	Northwest Territories	Northwest Territories	Home Office	Technology	Telephones and Communication	5125	Small Box	2012-09-19
12096	110	9/19/12	Medium	23	4689.66	0.01	Regular Air	2176.19	194.3	11.54	Michelle Lonsdale	Northwest Territories	Northwest Territories	Home Office	Furniture	Office Furnishings	Electrix Halogen Magnifier Lamp	Large Box	2012-09-21
12289	111	12/24/11	Low	25	3019.41	0.04	Regular Air	1269.05	120.97	7.11	Brendan Dodson	Northwest Territories	Northwest Territories	Corporate	Technology	Office Machines	Canon BP1200DH 12-Digit Bubble Jet Printing Calculator	Medium Box	2011-12-28
12352	112	3/23/12	Medium	5	36.86	0.07	Regular Air	-32.82	5.81	8.49	Hunter Glantz	Northwest Territories	Northwest Territories	Corporate	Office Supplies	Binders and Binder Accessories	Fellowes Black Plastic Comb Bindings	Small Box	2012-03-24
12419	113	10/15/11	Critical	12	22079.47	0.06	Regular Air	5322.14	1938.02	13.99	Sylvia Foulston	Northwest Territories	Northwest Territories	Corporate	Technology	Office Machines	Polycom ViewStation» Adapter H323 Videoconferencing Unit	Medium Box	2011-10-17
12485	114	8/7/10	Critical	24	5407.31	0.04	Delivery Truck	1068.48	226.67	28.16	Eugene Barchas	Northwest Territories	Northwest Territories	Home Office	Furniture	Chairs & Chairmats	Hon GuestStacker Chair	Jumbo Drum	2010-08-08
12544	115	3/3/09	Low	34	74.3	0.08	Regular Air	-129.01	2.08	5.33	Jim Radford	Northwest Territories	Northwest Territories	Corporate	Furniture	Office Furnishings	Eldon¬ Wave Desk Accessories	Small Box	2009-03-10
12704	116	2/9/10	Low	44	21506.77	0.06	Regular Air	1260.51	499.99	24.49	Carlos Soltero	Northwest Territories	Northwest Territories	Small Business	Technology	Copiers and Fax	Sharp AL-1530CS Digital Copier	Large Box	2010-02-09
12704	117	2/9/10	Low	28	669.02	0.02	Delivery Truck	-1274.02	20.98	53.03	Carlos Soltero	Northwest Territories	Northwest Territories	Small Business	Office Supplies	Storage & Organization	"Tennsco Lockers, Gray"	Jumbo Drum	2010-02-11
